cluster,rank,term,weight
0,1,self,0.1396260996045284
0,2,self supervised,0.13204224412224833
0,3,supervised,0.13204224412224833
0,4,prompt,0.12126885581010609
0,5,optimization,0.10659718046545533
0,6,prompts,0.10659718046545533
0,7,space,0.10327303796309967
0,8,learning,0.10239202864662336
0,9,outputs,0.09701508464808488
0,10,prompt optimization,0.09701508464808488
0,11,tasks,0.08366235342146552
0,12,downstream,0.07745477847232475
1,1,portrait,0.17227522083844948
1,2,animation,0.17227522083844948
1,3,flashportrait,0.16311444520780866
1,4,portrait animation,0.15010989901857427
1,5,diffusion,0.1361187769664921
1,6,diffusion based,0.12962702843888313
1,7,streaming,0.11082660909937606
1,8,based,0.10693553529870203
1,9,facial,0.10409680413863977
1,10,implicit,0.1008643269558195
1,11,personalive,0.1008643269558195
1,12,id,0.0932082544044621
2,1,document,0.177619379989838
2,2,parsing,0.1508445022837296
2,3,vision language,0.1423903114820102
2,4,vision,0.1423903114820102
2,5,language model,0.13188048295297322
2,6,document parsing,0.12080896905840025
2,7,model,0.10516540451298706
2,8,paddleocr,0.10364649310682428
2,9,recognition,0.10253287376553706
2,10,end,0.09701081680952368
2,11,language,0.09669044177800874
2,12,smoldocling,0.09173017939869588
3,1,memory,0.24230370478639746
3,2,agent,0.11362763102632237
3,3,agent memory,0.08508378580826949
3,4,vllm,0.0810929539579535
3,5,context,0.0734542892266413
3,6,files,0.07271607175729865
3,7,cache,0.06757746163162791
3,8,context files,0.05817285740583892
3,9,worldplay,0.05610955463704614
3,10,long,0.05510956885569923
3,11,consistency,0.04932115736992951
3,12,functional,0.04362964305437919
4,1,speech,0.2620789965668904
4,2,voice,0.16157775274533123
4,3,vibevoice,0.12772435720765332
4,4,sensevoice,0.11541268053237945
4,5,funaudiollm,0.11541268053237945
4,6,continuous,0.09579326790574
4,7,form,0.09579326790574
4,8,tokenizer,0.09579326790574
4,9,long form,0.09579326790574
4,10,cosyvoice,0.09233014442590357
4,11,audio,0.08893762390642602
4,12,languages,0.08115961020677322
5,1,image,0.15668491918097324
5,2,sharp,0.1017206287211695
5,3,single,0.08298829326373854
5,4,distribution,0.07317781297761242
5,5,model,0.07103857743302266
5,6,matching,0.06887590581422881
5,7,sam,0.06828926727270383
5,8,concept,0.06828926727270383
5,9,image generation,0.06504625546158872
5,10,distribution matching,0.06272383969509637
5,11,segmentation,0.060027311206110025
5,12,distillation,0.056354500066458736
6,1,autonomous,0.13939523487457128
6,2,deepcode,0.12621137013137
6,3,information,0.1185143928648878
6,4,agents,0.1174760637375461
6,5,live,0.10924529872581612
6,6,trader,0.10356787675860264
6,7,markets,0.10356787675860264
6,8,trading,0.10356787675860264
6,9,financial,0.10356787675860264
6,10,ai trader,0.10356787675860264
6,11,fully,0.09899933984559287
6,12,human,0.08512321190785099
7,1,gui,0.43404321071529084
7,2,end,0.17213617703901438
7,3,8b,0.13021296321458725
7,4,privacy,0.13021296321458725
7,5,pipeline,0.13021296321458725
7,6,gui automation,0.13021296321458725
7,7,step,0.12614903728975538
7,8,automation,0.11445918777746328
7,9,training,0.10180059897630662
7,10,real world,0.09461177796731653
7,11,everyday,0.08680864214305817
7,12,evolving training,0.08680864214305817
