Seq|Sotre_nm|Address|Telephone|Category|Ycoordinate|Xcoordinate
1|신림사거리 |서울특별시 관악구 남부순환로 1619 (신림동)|1522-3232||37.484768|126.930467
2|신림역포도몰 |서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)|1522-3232||37.48385383|126.9301799
3|신림 |서울특별시 관악구 신림로 355-1 (신림동)|1522-3232||37.48609493|126.9291602
4|서울대입구역 |서울특별시 관악구 남부순환로 1812 (봉천동)|1522-3232||37.48118|126.951324
5|서울대역 |서울특별시 관악구 남부순환로 1817 (봉천동)|1522-3232||37.481599|126.9522
6|관악서울대입구R |서울특별시 관악구 관악로 158 (봉천동)|1522-3232|리저브 매장|37.479343|126.95278
7|보라매대교 |서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)|1522-3232||37.491449|126.925432
8|보라매공원R |서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)|1522-3232|리저브 매장|37.49226213|126.9233457
9|신대방삼거리역 |서울특별시 동작구 상도로 102 (상도동)|1522-3232||37.499914|126.931766
10|숭실대입구역 |서울특별시 동작구 상도로 354 (상도동)|1522-3232||37.4968346|126.9527123
11|역삼아레나빌딩 |서울특별시 강남구 언주로 425 (역삼동)|1522-3232||37.501087|127.043069
12|논현역사거리 |서울특별시 강남구 강남대로 538 (논현동)|1522-3232||37.510178|127.022223
13|신사역성일빌딩 |서울특별시 강남구 강남대로 584 (논현동)|1522-3232||37.514132|127.020563
14|국기원사거리 |서울특별시 강남구 테헤란로 125 (역삼동)|1522-3232||37.499517|127.031495
15|스탈릿대치R |서울특별시 강남구 남부순환로 2947 (대치동)|1522-3232|리저브 매장|37.494668|127.062583
16|봉은사역 |서울특별시 강남구 봉은사로 619 (삼성동)|1522-3232||37.515|127.063196
17|압구정윤성빌딩 |서울특별시 강남구 논현로 834 (신사동)|1522-3232||37.5227934|127.0286009
18|코엑스별마당 |서울특별시 강남구 영동대로 513 (삼성동)|1522-3232||37.51015|127.060275
19|삼성역섬유센터R |서울특별시 강남구 테헤란로 518 (대치동)|1522-3232|리저브 매장|37.50775|127.060651
20|압구정R |서울특별시 강남구 언주로 861 (신사동)|1522-3232|리저브 매장|37.5273669|127.033061
21|수서역R |서울특별시 강남구 광평로 281 (수서동)|1522-3232|리저브 매장|37.488008|127.10265
22|양재강남빌딩R |서울특별시 강남구 남부순환로 2621 (도곡동)|1522-3232|리저브 매장|37.485192|127.036685
23|선릉동신빌딩R |서울특별시 강남구 테헤란로 409 (삼성동)|1522-3232|리저브 매장|37.505321|127.050409
24|봉은사로선정릉 |서울특별시 강남구 봉은사로 446 (삼성동)|1522-3232||37.511293|127.048409
25|강남오거리 |서울특별시 강남구 봉은사로2길 39 (역삼동)|1522-3232||37.502117|127.026672
26|스타필드코엑스몰R |서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호|1522-3232|리저브 매장|37.50999|127.061455
27|강남구청정문 |서울특별시 강남구 학동로 419 (청담동)|1522-3232||37.518181|127.045995
28|도곡공원 |서울특별시 강남구 도곡로 205 (역삼동)|1522-3232||37.492805|127.041309
29|강남R |서울특별시 강남구 강남대로 390 (역삼동)|1522-3232|리저브 매장|37.497711|127.028439
30|대치은마사거리 |서울특별시 강남구 도곡로 457 (대치동)|1522-3232||37.498973|127.060172
31|청담영동대로 |서울특별시 강남구 영동대로 720 (청담동)|1522-3232||37.522156|127.056449
32|압구정 |서울특별시 강남구 압구정로30길 17 (신사동)|1522-3232||37.526283|127.02956
33|신사가로수 |서울특별시 강남구 압구정로12길 32 (신사동)|1522-3232||37.521852|127.02251
34|청담스타R |서울특별시 강남구 도산대로57길 24 (청담동)|1522-3232|리저브 매장|37.525216|127.041827
35|강남우성 |서울특별시 강남구 강남대로 328 (역삼동)|1522-3232||37.492396|127.03091
36|학동사거리 |서울특별시 강남구 도산대로 328 (논현동)|1522-3232||37.5223645|127.0379543
37|대치사거리 |서울특별시 강남구 삼성로 402 (대치동)|1522-3232||37.503331|127.058817
38|포스코사거리 |서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩|1522-3232||37.5075307|127.0574271
39|을지병원사거리 |서울특별시 강남구 논현로 752 (논현동,구산빌딩)|1522-3232||37.5191632|127.0286446
40|신사역 |서울특별시 강남구 도산대로 108 (논현동) 렉스타워|1522-3232||37.5162021|127.0207428
41|도곡역 |서울특별시 강남구 남부순환로 2909 (대치동)|1522-3232||37.492167|127.057398
42|서울세관사거리 |서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회|1522-3232||37.514887|127.035653
43|청담사거리 |서울특별시 강남구 도산대로 458 (청담동) 리츠타워|1522-3232||37.5236351|127.0468651
44|한티역 |서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)|1522-3232||37.496801|127.055055
